seed,round,honest_r_can,attacker_r_can,attacker_r_old
103,126,0.829726,0.01,0.736844
103,127,0.83245,0.01,0.745608
103,128,0.835131,0.01,0.755114
103,129,0.837769,0.01,0.764905
103,130,0.840365,0.01,0.731299
103,131,0.842919,0.01,0.73852
103,132,0.845432,0.01,0.747169
103,133,0.847905,0.01,0.756567
103,134,0.850339,0.01,0.766257
103,135,0.852733,0.01,0.73253
103,136,0.85509,0.01,0.739666
103,137,0.857408,0.01,0.748235
103,138,0.85969,0.01,0.757559
103,139,0.861935,0.01,0.76718
103,140,0.864144,0.01,0.73337
103,141,0.866317,0.01,0.740448
103,142,0.868456,0.01,0.748963
103,143,0.870561,0.01,0.758236
103,144,0.872632,0.01,0.767811
103,145,0.87467,0.01,0.733945
103,146,0.876675,0.01,0.740983
103,147,0.878648,0.01,0.74946
103,148,0.88059,0.01,0.758699
103,149,0.882501,0.01,0.768241
103,150,0.884381,0.01,0.734337
103,151,0.886231,0.01,0.741348
103,152,0.888051,0.01,0.7498
103,153,0.889842,0.01,0.759015
103,154,0.891605,0.01,0.768536
103,155,0.893339,0.01,0.734605
103,156,0.895046,0.01,0.741597
103,157,0.896725,0.01,0.750032
103,158,0.851889,0.01,0.715611
103,159,0.854258,0.01,0.722798
103,160,0.85659,0.01,0.687957
103,161,0.858885,0.01,0.695567
103,162,0.861143,0.01,0.705363
